"","abberation","OR","p_value","n","frac","frac_other","cluster","p_adj","log_p_adj","log_p_adj_abs","frac_adj","sign","sign2"
"1","KIT",11.0592458816236,5.91800358798391e-14,25,0.409836065573771,0.0588235294117647,"RUNX1::RUNX1T1",3.72615040724913e-12,3,3,0.409836065573771,"","."
"2","RUNX1::RUNX1T1",7290.08538321151,2.50188749766132e-96,62,0.939393939393939,0.00176056338028169,"RUNX1::RUNX1T1",1.41773624867475e-93,3,3,0.75,"","."
"3","-Y",14.6514345546973,1.1065826508054e-10,15,0.234375,0.0203327171903882,"RUNX1::RUNX1T1",5.22552918435884e-09,3,3,0.234375,"","."
"4","-9q",10.3077711375406,1.26223196446323e-06,10,0.15625,0.0175600739371534,"RUNX1::RUNX1T1",3.15557991115807e-05,3,3,0.15625,"","."
"5","-X",21.8908871314864,9.07734283800994e-09,10,0.15625,0.00831792975970425,"RUNX1::RUNX1T1",3.14928220910549e-07,3,3,0.15625,"","."
"6","FLT3-ITD",2.99601866970669,5.8667603324732e-05,30,0.46875,0.227312013828868,"PML::RARA",0.000958989669731196,3,3,0.46875,"","."
"7","PML::RARA",Inf,3.50625144075573e-105,64,1,0.00172413793103448,"PML::RARA",2.98031372464237e-102,3,3,0.75,"","."
"8","FLT3-ITD",3.05080156156224,0.00372267412195022,14,0.482758620689655,0.234060402684564,"NUP98",0.0297114836024196,1.52707566175213,1.52707566175213,0.482758620689655,"*",""
"9","KMT2A::ELL",14.8971547090782,0.00235785305123957,3,0.103448275862069,0.00762066045723963,"NUP98",0.0210297554545875,1.67716577749631,1.67716577749631,0.103448275862069,"*",""
"10","WT1",8.65938800512573,1.34230109745281e-05,9,0.333333333333333,0.054367201426025,"NUP98",0.00025639459164829,3,3,0.333333333333333,"","."
"11","NUP98::NSD1",153.673044090764,9.52094801277132e-19,13,0.448275862068966,0.00508044030482642,"NUP98",8.99200645650625e-17,3,3,0.448275862068966,"","."
"12","DNMT3A-R882",3.33555166001208,0.000132285398307563,18,0.272727272727273,0.100925925925926,"NPM1(5)",0.00188979140439376,2.72358613070524,2.72358613070524,0.272727272727273,"","."
"13","NPM1",3.29113460851585,5.10718253193146e-06,35,0.514705882352941,0.243500866551127,"NPM1(5)",0.000107187781534364,3,3,0.514705882352941,"","."
"14","TET2",3.38343774622387,3.17622479109887e-05,22,0.333333333333333,0.128584643848289,"NPM1(5)",0.000545412337865462,3,3,0.333333333333333,"","."
"15","KRAS",4.17121788702154,4.70859534185596e-05,15,0.227272727272727,0.0657407407407407,"NPM1(5)",0.000784765890309327,3,3,0.227272727272727,"","."
"16","DNMT3A nonHsp",2.43869272925011,0.00406514508972368,17,0.207317073170732,0.0967741935483871,"NPM1(4)",0.0321430076861872,1.49291348785893,1.49291348785893,0.207317073170732,"*",""
"17","FLT3-ITD",2.54056493141214,0.000134353413672771,35,0.426829268292683,0.226514486391572,"NPM1(4)",0.00190311393990862,2.7205352096151,2.7205352096151,0.426829268292683,"","."
"18","NPM1",8.61107194930453,4.03868731726915e-19,58,0.716049382716049,0.226117440841367,"NPM1(4)",4.29110527459847e-17,3,3,0.716049382716049,"","."
"19","DNMT3A-R882",7.40246784535453,1.67088909943494e-13,33,0.417721518987342,0.0880974695407685,"NPM1(4)",9.7948671346186e-12,3,3,0.417721518987342,"","."
"20","FLT3-TKD",5.13050501198367,1.75085515032853e-06,17,0.215189873417722,0.0506091846298032,"NPM1(4)",4.07733391172396e-05,3,3,0.215189873417722,"","."
"21","FLT3-ITD",2.47249160097998,0.000904609722998943,28,0.424242424242424,0.229437229437229,"NPM1(3)",0.0094928180808531,2.02260484181051,2.02260484181051,0.424242424242424,"","."
"22","NPM1",2.53270046145006,0.000425549903239705,30,0.454545454545455,0.247404844290657,"NPM1(3)",0.00516739168219642,2.28672861819703,2.28672861819703,0.454545454545455,"","."
"23","PTPN11",4.00239721482939,0.000186074599461434,13,0.206349206349206,0.0608856088560886,"NPM1(3)",0.00251053031019395,2.60023453092357,2.60023453092357,0.206349206349206,"","."
"24","WT1",4.68221589199968,4.85046291618482e-05,13,0.206349206349206,0.0524861878453039,"NPM1(3)",0.000800561840535359,3,3,0.206349206349206,"","."
"25","STAG2",2.97851335642909,0.00565885888780531,10,0.10989010989011,0.039747064137308,"NPM1(2)",0.0407629665646993,1.38973421731043,1.38973421731043,0.10989010989011,"*",""
"26","DNMT3A nonHsp",2.48946771932079,0.00195457243448231,19,0.208791208791209,0.0957542908762421,"NPM1(2)",0.0182382982852805,1.7390156857329,1.7390156857329,0.208791208791209,"*",""
"27","KMT2D",7.95697828955199,0.00179170924232728,5,0.0549450549450549,0.00722673893405601,"NPM1(2)",0.0171118298424515,1.76670354697625,1.76670354697625,0.0549450549450549,"*",""
"28","WT1",3.24818486888936,0.000681228853586275,14,0.153846153846154,0.052930056710775,"NPM1(2)",0.00766946391454746,2.11523499160389,2.11523499160389,0.153846153846154,"","."
"29","NPM1",17.8645951289683,2.55842935657102e-33,77,0.827956989247312,0.211691762621789,"NPM1(2)",6.21332843738675e-31,3,3,0.75,"","."
"30","FLT3-ITD",22.0030134005883,2.41821227923574e-37,78,0.838709677419355,0.190602836879433,"NPM1(2)",6.85160145783459e-35,3,3,0.75,"","."
"31","DNMT3A-R882",5.3367661311295,3.24983965587107e-10,31,0.348314606741573,0.0908230842005676,"NPM1(2)",1.416596773072e-08,3,3,0.348314606741573,"","."
"32","DNMT3A nonHsp",2.28446948488096,0.00476699461299302,19,0.195876288659794,0.0962761126248865,"NPM1(1)",0.035952694028827,1.44426856124725,1.44426856124725,0.195876288659794,"*",""
"33","NPM1",74.8462461488353,5.45671452024139e-53,93,0.948979591836735,0.198398576512456,"NPM1(1)",2.31910367110259e-50,3,3,0.75,"","."
"34","FLT3-ITD",2.60320994940168,1.94769561004437e-05,42,0.428571428571429,0.223508459483526,"NPM1(1)",0.000356030380330691,3,3,0.428571428571429,"","."
"35","TET2",3.50958969689284,6.76663662534172e-07,32,0.329896907216495,0.122857142857143,"NPM1(1)",1.82591781953666e-05,3,3,0.329896907216495,"","."
"36","IDH2-R140",7.98133302393993,2.40033618164052e-15,36,0.371134020618557,0.0686367969494757,"NPM1(1)",1.70023812866204e-13,3,3,0.371134020618557,"","."
"37","IDH1-R132",6.28501707575457,1.28326479537038e-09,24,0.247422680412371,0.0495710200190658,"NPM1(1)",5.19416702888012e-08,3,3,0.247422680412371,"","."
"38","KMT2A::MLLT4",318.285825822168,3.18398329198631e-17,10,0.666666666666667,0.00585774058577406,"KMT2A(2)",2.46035072562578e-15,3,3,0.666666666666667,"","."
"39","MRC cytogenetics",2.14818710312071,0.000833869115241916,39,0.433333333333333,0.262385321100917,"KMT2A(1)",0.00897200946779277,2.04711027679571,2.04711027679571,0.433333333333333,"","."
"40","KRAS",3.47844060293154,0.000110526360896626,17,0.195402298850575,0.0651558073654391,"KMT2A(1)",0.00164820011863389,2.78299005893621,2.78299005893621,0.195402298850575,"","."
"41","+8/8q",3.73788869399362,8.52016295323843e-07,27,0.284210526315789,0.0958904109589041,"KMT2A(1)",2.22835031084697e-05,3,3,0.284210526315789,"","."
"42","FLT3-TKD",4.10549400608259,3.29841380740181e-05,16,0.183908045977011,0.0519357884796978,"KMT2A(1)",0.000560730347258307,3,3,0.183908045977011,"","."
"43","KMT2A::MLLT3",33.9168840522878,4.92301133149699e-24,29,0.305263157894737,0.0126811594202899,"KMT2A(1)",6.43778404888068e-22,3,3,0.305263157894737,"","."
"44","KMT2A::MLLT10",83.467369689586,4.32377441476919e-18,18,0.185567010309278,0.00269541778975741,"KMT2A(1)",3.50019833576553e-16,3,3,0.185567010309278,"","."
"45","-11/11q",5.37931156549936,0.00557314074266135,5,0.072463768115942,0.0142729705619982,"CEBPA",0.0403163372873374,1.39451893013775,1.39451893013775,0.072463768115942,"*",""
"46","CSF3R",12.8348871300877,7.23558022503986e-05,6,0.0845070422535211,0.00709849157054126,"CEBPA",0.00114957816659512,2.93946149314915,2.93946149314915,0.0845070422535211,"","."
"47","CEBPA",71.9684968711799,8.6027467159786e-50,54,0.76056338028169,0.04182156133829,"CEBPA",2.92493388343272e-47,3,3,0.75,"","."
"48","GATA2",11.0333607940173,7.393974249052e-10,16,0.228571428571429,0.0260223048327138,"CEBPA",3.06579420082644e-08,3,3,0.228571428571429,"","."
"49","+2",2.40899315243989,0.0043279211601111,17,0.154545454545455,0.0704633204633205,"CBFB::MYH11",0.0340623424638374,1.46772548895893,1.46772548895893,0.154545454545455,"*",""
"50","NRAS",3.85919553674383,6.12138068330696e-09,41,0.39047619047619,0.142170989433237,"CBFB::MYH11",2.26224938296127e-07,3,3,0.39047619047619,"","."
"51","CBFB::MYH11",11269.1468466156,5.59801581896747e-144,106,0.946428571428571,0.000910746812386157,"CBFB::MYH11",9.5166268922447e-141,3,3,0.75,"","."
"52","KIT",14.973989901024,6.84797856665149e-25,43,0.40952380952381,0.0440613026819923,"CBFB::MYH11",9.70130296942294e-23,3,3,0.40952380952381,"","."
"53","+22",7.78514556170434,1.78340051530544e-07,15,0.15,0.0220820189274448,"CBFB::MYH11",5.22720840692973e-06,3,3,0.15,"","."
"54","BCORL1",9.33936059431959,0.0026558146468718,4,0.0625,0.00705467372134039,"AML-MRC(5)",0.0229181974603151,1.63981954306691,1.63981954306691,0.0625,"*",""
"55","+1",2.99737984743239,0.00138040921660638,14,0.225806451612903,0.0885608856088561,"AML-MRC(5)",0.0137233664808821,1.86253933872192,1.86253933872192,0.225806451612903,"*",""
"56","-20q",12.9444066875086,0.000275471235535508,5,0.0847457627118644,0.00705645161290323,"AML-MRC(5)",0.00354773560916943,2.4500487529207,2.4500487529207,0.0847457627118644,"","."
"57","U2AF1",5.80490558849657,0.000147425466700244,9,0.140625,0.027336860670194,"AML-MRC(5)",0.00205428929008536,2.68733839801183,2.68733839801183,0.140625,"","."
"58","+13",6.88786635376128,0.000135456933369966,8,0.135593220338983,0.0221774193548387,"AML-MRC(5)",0.00190311393990862,2.7205352096151,2.7205352096151,0.135593220338983,"","."
"59","MRC genes",21.5707695312208,8.30296356508064e-28,51,0.796875,0.153448275862069,"AML-MRC(5)",1.28318527823974e-25,3,3,0.75,"","."
"60","RUNX1",27.141523797192,9.51012676099473e-31,43,0.671875,0.0696649029982363,"AML-MRC(5)",2.02090193671138e-28,3,3,0.671875,"","."
"61","ASXL1",5.16883729924419,1.6007238255899e-06,17,0.265625,0.0652557319223986,"AML-MRC(5)",3.83271901901807e-05,3,3,0.265625,"","."
"62","SRSF2",5.66347060789456,2.12526010895429e-06,15,0.234375,0.0511463844797178,"AML-MRC(5)",4.81725624696307e-05,3,3,0.234375,"","."
"63","BCOR",6.68543527967483,6.02486560358109e-05,9,0.140625,0.0238095238095238,"AML-MRC(5)",0.000975454431055986,3,3,0.140625,"","."
"64","PHF6",12.8948597218407,9.98025811066836e-07,9,0.145161290322581,0.0129151291512915,"AML-MRC(5)",2.570672543657e-05,3,3,0.145161290322581,"","."
"65","-9",5.02520722844432,0.00470908934128188,6,0.0560747663551402,0.0116525423728814,"AML-MRC(4)",0.035952694028827,1.44426856124725,1.44426856124725,0.0560747663551402,"*",""
"66","-12p",5.60539437987138,0.00310074897728145,6,0.0521739130434783,0.00969932104752667,"AML-MRC(4)",0.0255855441853176,1.59200534147603,1.59200534147603,0.0521739130434783,"*",""
"67","-3q",7.73980548741715,0.00263355283877565,5,0.0434782608695652,0.005819592628516,"AML-MRC(4)",0.0228420399281561,1.64126511364943,1.64126511364943,0.0434782608695652,"*",""
"68","+22",3.63279896813124,0.00206045997176845,10,0.0934579439252336,0.0275423728813559,"AML-MRC(4)",0.0186318188936509,1.72974474591339,1.72974474591339,0.0934579439252336,"*",""
"69","-6",8.96772036300351,0.00183793636195121,5,0.0531914893617021,0.00619578686493185,"AML-MRC(4)",0.0174552615380842,1.75807363962002,1.75807363962002,0.0531914893617021,"*",""
"70","add3p",9.12412240061292,0.00169887637034734,5,0.0490196078431373,0.00559284116331096,"AML-MRC(4)",0.0164096013044913,1.78490197064482,1.78490197064482,0.0490196078431373,"*",""
"71","+19",4.73201726778577,0.00150279316944573,8,0.0695652173913043,0.0155189136760427,"AML-MRC(4)",0.0146490227286644,1.83419134716688,1.83419134716688,0.0695652173913043,"*",""
"72","-15",5.80173228781996,0.00131381395321959,7,0.074468085106383,0.0136307311028501,"AML-MRC(4)",0.0131381395321959,1.881466130066,1.881466130066,0.074468085106383,"*",""
"73","IKZF1",6.23470660767064,0.000861013035382497,7,0.0603448275862069,0.0101663585951941,"AML-MRC(4)",0.00914788474968481,2.03867931552257,2.03867931552257,0.0603448275862069,"","."
"74","add17p",7.24512854826025,0.000493632751812836,7,0.0654205607476635,0.00953389830508475,"AML-MRC(4)",0.00590968787381564,2.22843545621844,2.22843545621844,0.0654205607476635,"","."
